,step,loss
0,1.0,0.31154218
1,2.0,0.24281998
2,3.0,0.4975529
3,4.0,0.07045482
4,5.0,0.4814087
5,6.0,0.11824281
6,7.0,0.28028393
7,8.0,0.06984576
8,9.0,0.49737227
9,10.0,0.32268828
10,11.0,0.21979292
11,12.0,0.24101219
12,13.0,0.43120736
13,14.0,0.3018859
14,15.0,0.4984027
15,16.0,0.33986315
16,17.0,0.13472956
17,18.0,0.10046256
18,19.0,0.029030154
19,20.0,0.4081016
20,21.0,0.09879415
21,22.0,0.17747127
22,23.0,0.19505143
23,24.0,0.15393259
24,25.0,0.369185
25,26.0,0.1573292
26,27.0,0.3346592
27,28.0,0.33818126
28,29.0,0.16131775
29,30.0,0.22788781
30,31.0,0.1133964
31,32.0,0.03321668
32,33.0,0.19465819
33,34.0,0.13947754
34,35.0,0.12423836
35,36.0,0.116492
36,37.0,0.30087242
37,38.0,0.10948557
38,39.0,0.09055813
39,40.0,0.56225824
40,41.0,0.18305968
41,42.0,0.6556335
42,43.0,0.26056594
43,44.0,0.1270436
44,45.0,0.39310846
45,46.0,0.10124319
46,47.0,0.2923784
47,48.0,0.14713547
48,49.0,0.23789474
49,50.0,0.16531533
50,51.0,0.14963163
51,52.0,0.34362862
52,53.0,0.065830864
53,54.0,0.4096674
54,55.0,0.06658282
55,56.0,0.1015884
56,57.0,0.33049098
57,58.0,0.07985777
58,59.0,0.12364825
59,60.0,0.31291288
60,61.0,0.31533977
61,62.0,0.2499161
62,63.0,0.12861775
63,64.0,0.08064919
64,65.0,0.2082082
65,66.0,0.35869476
66,67.0,0.3998009
67,68.0,0.34095293
68,69.0,0.34611365
69,70.0,0.32465556
70,71.0,0.13516417
71,72.0,0.19150364
72,73.0,0.31298968
73,74.0,0.2704837
74,75.0,0.42050123
75,76.0,0.29167718
76,77.0,0.05865517
77,78.0,0.24015859
78,79.0,0.059804093
79,80.0,0.29464275
80,81.0,0.6453787
81,82.0,0.34239
82,83.0,0.2198349
83,84.0,0.16185413
84,85.0,0.2753741
85,86.0,0.14667057
86,87.0,0.07864757
87,88.0,0.21146806
88,89.0,0.20403586
89,90.0,0.3404983
90,91.0,0.08519919
91,92.0,0.4749836
92,93.0,0.28035846
93,94.0,0.29148254
94,95.0,0.36381558
95,96.0,0.1723737
96,97.0,0.16976267
97,98.0,0.06423132
98,99.0,0.09995771
99,100.0,0.41976008
100,101.0,0.18951532
101,102.0,0.10738171
102,103.0,0.1445881
103,104.0,0.11372998
104,105.0,0.63416284
105,106.0,0.59849864
106,107.0,0.42204767
107,108.0,0.4616263
108,109.0,0.106114246
109,110.0,0.44941425
110,111.0,0.10472309
111,112.0,0.078781635
112,113.0,0.5644642
113,114.0,0.39348167
114,115.0,0.13181242
115,116.0,0.11469053
116,117.0,0.16397464
